City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
382,Lemoore,US,69.87,36.3008,-119.7829,clear sky,
383,Port Hueneme,US,73.36,34.1478,-119.1951,clear sky,
384,Moctezuma,MX,73.67,29.8,-109.6667,overcast clouds,
385,Williamsport,US,40.73,41.2412,-77.0011,broken clouds,
386,Cardinal,CA,32.32,44.7834,-75.3826,clear sky,
387,Syracuse,IT,48.31,37.0881,15.2792,few clouds,
388,Payson,US,48.04,40.0444,-111.7321,clear sky,
389,Oswego,US,32.92,43.4501,-76.1497,light snow,
390,Carlsbad,US,76.39,33.1581,-117.3506,clear sky,
391,Chalmette,US,54.0,29.9427,-89.9634,overcast clouds,
392,New Iberia,US,51.87,30.0035,-91.8187,overcast clouds,
393,Oro Valley,US,71.78,32.3909,-110.9665,broken clouds,
394,Chihuahua,MX,37.2,28.5,-106.0,overcast clouds,
395,Duncan,US,51.69,34.5023,-97.9578,clear sky,
396,Steamboat Springs,US,30.0,40.485,-106.8317,clear sky,
397,Cumberland,US,57.7,35.0502,-78.8664,clear sky,
398,Natchez,US,49.44,31.5604,-91.4032,clear sky,
399,Praxedis Guerrero,MX,50.14,31.3667,-106.0167,overcast clouds,
401,Brighton,GB,48.24,50.8284,-0.1395,broken clouds,
402,Norfolk,US,47.66,42.1668,-71.2495,overcast clouds,
403,Manhattan,US,48.94,40.7834,-73.9662,clear sky,
405,Montrose,US,36.81,38.4166,-108.2673,clear sky,
406,Silver City,US,46.36,32.7701,-108.2803,clear sky,
407,Alamogordo,US,45.41,32.8995,-105.9603,overcast clouds,
408,Portales,US,48.33,34.1862,-103.3344,overcast clouds,
409,Atchison,US,28.58,39.563,-95.1216,overcast clouds,
410,Warner Robins,US,54.14,32.621,-83.5999,scattered clouds,
411,Ottawa,CA,32.43,45.4112,-75.6981,scattered clouds,
412,San Jacinto,US,73.42,33.7839,-116.9586,scattered clouds,
413,Estelle,US,54.0,29.8458,-90.1067,overcast clouds,
415,Ojinaga,MX,44.42,29.5667,-104.4167,overcast clouds,
417,Sanger,US,69.66,36.708,-119.556,clear sky,
418,Burley,US,48.29,42.5357,-113.7928,clear sky,
420,Fort Myers Beach,US,77.07,26.452,-81.9481,overcast clouds,
421,Pine Bluff,US,51.73,34.2284,-92.0032,clear sky,
422,Festus,US,27.48,38.2206,-90.396,overcast clouds,
425,Crossville,US,40.1,35.949,-85.0269,broken clouds,
426,Carrollton,US,53.94,32.9537,-96.8903,clear sky,
427,Fruitville,US,75.92,27.3298,-82.4576,clear sky,
428,Wichita,US,37.45,37.6922,-97.3375,few clouds,
429,Alexander City,US,49.5,32.944,-85.9539,overcast clouds,
432,Big Spring,US,52.25,32.2504,-101.4787,clear sky,
433,Idaho Falls,US,34.0,43.4666,-112.0341,clear sky,
434,Santa Ana,US,77.02,33.7456,-117.8678,overcast clouds,
436,Tehachapi,US,58.64,35.1322,-118.449,broken clouds,
437,Sheridan,US,39.58,44.8333,-106.9173,clear sky,
438,Virginia Beach,US,52.02,36.8529,-75.978,scattered clouds,
439,Listowel,IE,40.71,52.4464,-9.485,scattered clouds,
440,Prescott Valley,US,57.25,34.5894,-112.3252,clear sky,
441,Morris,US,45.63,40.8334,-74.5329,scattered clouds,
444,Mountain Home,US,52.43,43.133,-115.6912,clear sky,
445,Sunrise Manor,US,66.29,36.2111,-115.0731,clear sky,
446,Chino Valley,US,58.68,34.7575,-112.4538,clear sky,
448,Ridgecrest,US,66.06,35.6225,-117.6709,clear sky,
449,Pittsburg,US,67.66,38.028,-121.8847,clear sky,
451,Huntsville,US,46.81,34.7304,-86.5861,clear sky,
452,Nueva Rosita,MX,40.55,27.95,-101.2167,overcast clouds,
454,Henderson,US,66.22,36.0397,-114.9819,clear sky,
455,Pendleton,US,65.8,45.6721,-118.7886,clear sky,
456,Anahuac,MX,45.5,27.2333,-100.15,overcast clouds,
457,Olive Branch,US,44.28,34.9618,-89.8295,scattered clouds,
459,Madisonville,US,34.21,37.3281,-87.4989,broken clouds,
460,Spearfish,US,38.28,44.4908,-103.8594,clear sky,
461,Mechanicsville,US,51.33,37.6088,-77.3733,broken clouds,
462,Evans,US,54.61,33.5337,-82.1307,overcast clouds,
464,Carthage,TN,58.53,36.8611,10.3316,few clouds,
465,Fort Stewart,US,58.87,31.8722,-81.61,scattered clouds,
467,Horn Lake,US,44.58,34.9554,-90.0348,broken clouds,
468,Seymour,US,27.32,38.9592,-85.8903,overcast clouds,
469,Castanos,MX,43.34,26.7833,-101.4167,overcast clouds,
471,Mulege,MX,69.1,26.8833,-111.9833,scattered clouds,
472,Greensburg,US,32.63,40.3015,-79.5389,overcast clouds,
473,Levelland,US,50.2,33.5873,-102.378,overcast clouds,
474,Selma,US,69.85,36.5708,-119.6121,clear sky,
475,Soddy-Daisy,US,47.93,35.2359,-85.1908,overcast clouds,
476,Brookhaven,US,47.86,31.5791,-90.4407,overcast clouds,
478,Creel,MX,44.76,27.75,-107.6333,moderate rain,
479,Bossier City,US,55.58,32.516,-93.7321,clear sky,
480,Culpeper,US,50.92,38.5004,-77.9664,clear sky,
481,Portland,US,68.81,45.5234,-122.6762,scattered clouds,
484,Chatham,GB,49.19,51.3789,0.5279,scattered clouds,
485,Dyersburg,US,42.94,36.0345,-89.3856,scattered clouds,
487,Blackfoot,US,44.38,43.1905,-112.345,broken clouds,
489,Scottsbluff,US,43.92,41.8666,-103.6672,clear sky,
490,Saint Albans,GB,48.9,51.75,-0.3333,few clouds,
491,Little Rock,US,46.36,34.7465,-92.2896,scattered clouds,
493,Artesia,US,77.23,33.8658,-118.0831,clear sky,
495,Primo Tapia,MX,72.95,32.22,-116.9172,scattered clouds,
496,Mansfield,GB,45.79,53.1333,-1.2,overcast clouds,
497,Lamesa,US,50.52,32.7376,-101.951,broken clouds,
498,Emporia,US,34.0,38.4039,-96.1817,overcast clouds,
499,Bloomingdale,US,72.25,27.8936,-82.2404,scattered clouds,
500,Ramos Arizpe,MX,45.95,25.55,-100.9667,overcast clouds,
501,Etchoropo,MX,75.42,26.7667,-109.6667,overcast clouds,
502,Chester,US,44.08,40.1254,-75.8749,clear sky,
503,Fredericksburg,US,52.34,38.3032,-77.4605,clear sky,
505,Caborca,MX,71.67,30.5838,-111.101,scattered clouds,
508,Gainesville,US,53.74,29.6516,-82.3248,broken clouds,
512,Muskogee,US,43.34,35.5834,-95.3336,clear sky,
513,Sierra Vista,US,62.2,31.5545,-110.3037,scattered clouds,
514,Lockhart,US,75.94,28.6194,-81.4426,overcast clouds,
